"1042,""Maaßstraße"",""43"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.644134225323796 49.42244334053248)"""
"1043,""In der Aue"",""13"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.764336636289954 49.41267744731158)"""
"1044,""Blumenstraße"",""25"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.686892984434962 49.40432603191584)"""
"1045,""Adlerstraße"",""23"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.646710481494665 49.42209844477475)"""
"1046,""Mannheimer Straße"",""216"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.651134899817407 49.421541611664)"""
"1047,""Im Neuenheimer Feld"",""227"",""69120"",""Heidelberg"",""Deutschland"",""POINT (8.67313827574253 49.41578029561788)"""
"1048,""Schmeilweg"",""1"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.726074781268835 49.41462747659534)"""
"1049,""Vangerowstraße"",""16"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.6726605 49.4093771)"""
"1050,""Grünewaldstraße"",""12"",""69126"",""Heidelberg"",""Deutschland"",""POINT (8.688279441557825 49.38560863211751)"""
"1051,""Grabengasse"",""10"",""69117"",""Heidelberg"",""Deutschland"",""POINT (8.705604736693203 49.410977421328425)"""
"1052,""Im Buschgewann"",""35"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.646651414223015 49.39726361632347)"""
"1053,""Hans-Thoma-Straße"",""4"",""69121"",""Heidelberg"",""Deutschland"",""POINT (8.6820818 49.4284435)"""
"1054,""Kanzleigasse"",""1"",""69117"",""Heidelberg"",""Deutschland"",""POINT (8.713011426851153 49.41139965131879)"""
"1055,""Schleifweg"",""21"",""69126"",""Heidelberg"",""Deutschland"",""POINT (8.690835300832987 49.372431149706244)"""
"1056,""Czernyring"",""36"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.679984246380627 49.399149315431714)"""
"1057,""Hebelstraße"",""9"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.678830662742257 49.39645108766854)"""
"1058,""Gutleuthofweg"",""38"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.770307731814682 49.412688105367124)"""
"1059,""Feudenheimer Straße"",""18"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.644981119781733 49.42798708193004)"""
"1060,""Liegnitzer Straße"",""39"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.666021342389286 49.38510227203369)"""
"1061,""Schwarzwaldstraße"",""74"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.66228790115565 49.37750906217843)"""
"1062,""Hardtstraße"",""76"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.674619382247329 49.376908238977194)"""
"1063,""Marktstraße"",""14"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.647055517882109 49.40151761006564)"""
"1064,""Hirtenaue"",""56"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.75964567065239 49.42590788565576)"""
"1065,""Görresstraße"",""73"",""69126"",""Heidelberg"",""Deutschland"",""POINT (8.6919346 49.3881237)"""
"1066,""Schönauer Abtweg"",""12"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.76153848785907 49.42121152114123)"""
"1067,""Maaßstraße"",""55"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.643511628732085 49.42242033407092)"""
"1068,""Steckelsgasse"",""23"",""69121"",""Heidelberg"",""Deutschland"",""POINT (8.689938494935632 49.42794805020094)"""
"1069,""Friedensstraße"",""19"",""69121"",""Heidelberg"",""Deutschland"",""POINT (8.684647953137755 49.42959032859653)"""
"1070,""Seitzstraße"",""24"",""69120"",""Heidelberg"",""Deutschland"",""POINT (8.678496672771871 49.417965612374246)"""
"1071,""Bürgerstraße"",""16"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.67268508207053 49.378092898987234)"""
"1072,""Brückenstraße"",""19"",""69120"",""Heidelberg"",""Deutschland"",""POINT (8.6920127 49.4146248)"""
"1073,""Viernheimer Weg"",""21"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.642000867053866 49.42996639478952)"""
"1074,""Rohrbacher Straße"",""163"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.690715169534087 49.390117667615414)"""
"1075,""Wiesenweg"",""8"",""69121"",""Heidelberg"",""Deutschland"",""POINT (8.678581520915031 49.43319206126034)"""
"1076,""Franz-Knauff-Straße"",""30"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.6859342 49.3989321)"""
"1077,""Kleingemünder Straße"",""72"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.774142443202436 49.414529057219625)"""
"1078,""Köpfelweg"",""58"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.743867810815573 49.4235160574317)"""
"1079,""Bürgerstraße"",""33"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.673918884247541 49.37878298480064)"""
